tid,text,lang,aggression_level
anon_e3bc4e7f243e,বিগ ব্রেকিং নিউজ : সায়গল হোসেনের জেরায় আরও চাঞ্চল্যকর তথ্য ! জেরায় উঠে এসেছে একাধিক পুলিশ অফিসারের নাম এবং প্রভাবশালী নেতার ঘনিষ্ঠ অফিসারদের নামও ! দুয়ারে সিবিআই বলে এইসব ঘটনা জানতে পাড়া যাচ্ছে ! @USER @USER @USER @USER,BN,NAG
anon_7ec12aa91918,বিজেপি বিরোধী লড়াইয়ের স্তম্ভ মমতা – বাংলার বাঘিনীকেই নেতৃত্বে চান কংগ্রেস সাংসদ @USER #FAM4TMC URL,BN,NAG
anon_c75b6f114c23,"সাত নম্বর বসতি , দেশপ্রিয় পার্ক এরিয়া, কেয়াতলা রোডে আজ সান্ধ্যকালীন প্রচার ।। #বালিগঞ্জে_কেয়াদিকে_চাই URL",BN,NAG
anon_a3fc34dce15c,"30 লক্ষ ইউক্রেন নাগরিক এখন শরণার্থী, বহু মানুষ নিহত,খুবই খারাপ লাগছে। পৃথিবীর বেশিরভাগ দেশ তাদের পাশে রয়েছে। কিন্তু বাংলাদেশের কথা ভাবুন। 100 লক্ষ মানুষ ভারতে শরণার্থী, পাকিস্তান সেনাবাহিনী লক্ষ লক্ষ মানুষ হত্যা ও ধর্ষণ করে চলেছে,অথচ ভারত ও রাশিয়া ছাড",BN,NAG
anon_3dde889723e3,"জামিনের আবেদন খারিজ, ১৪ জুন পর্যন্ত পুলিশ হেফাজতে থাকতে হবে রোদ্দুর রায়কে #FAM4TMC URL",BN,NAG
anon_e5f3045e4478,"অভিশপ্ত ২রা মে, ২০২২, নিহত শহীদ সহযোদ্ধাদের আত্মার চির শান্তি কামনা করে অরন্ধন উপবাস পালন। কারন আমরা গেরুয়া যোদ্ধারা সবকিছু ভুলতে পারলেও এই অভিশপ্ত দিনগুলো ভুলতে পারবো না। আপনারাও যোগদিন অনুরোধ। আর, একবার খোঁজ নিয়ে দেখুন কিভাবে চলছে এই পরিবারগুলো।🙏🙏 ওম",BN,NAG
anon_bfc5f29ce3bf,হাঁসখালি ধর্ষণে অভিযুক্ত সোহেল গয়ালি ও তার বাবা তৃণমূল পঞ্চায়েত সদস্য সমর গয়ালিকে নিয়ে প্রতিবেশীর বক্তব্য। এটাই কি এগিয়ে বাংলার নমুনা? ছিঃ!!তৃণমূল এই সদস্যের বিরুদ্ধে কোন ব্যবস্থা নিলো না কারণ এরা তৃণমূলের সম্পদ। URL,BN,OAG
anon_bedc7106ffa9,@USER বাঃ!,BN,OAG
anon_8383f931b0ce,কর্মহীন খালিপেটে থাকা বাঙ্গালী জাতির আত্মসমালোচনা বাতিক আজ বাঙ্গালীকে জোকার শ্রেনীতে নামিয়ে এনেছে।,BN,OAG
anon_70803c1acb1e,@USER @USER 🤣🤣🤣 জয় বাংলা বলে বলে বাঙালীকে ঠকালো তৃণমূল। ছি ছি ছি থু। তৃণমূলের MLA পরেশ অধিকারী নিজের মেয়েকে স্কুলের চাকরী পাইয়ে দিলো বাঙালী অসংখ্য ছেলে মেয়েকে ধোঁকা দিয়ে। ছি ছি ছি। লজ্জা। এই তৃণমূল রাজনীতি করে শুধু নিজেদের আখের গোছাতে,BN,OAG
anon_adb0e2c465ae,"সিবিআই দপ্তরে হাজির হতেই বড়সড় ধাক্কা পার্থর, জেনে নিন ! এসএসসির মামলায় রক্ষাকবচ পেতে সুপ্রিম কোটে দ্বারস্থ হয়েছিলেন পার্থ চট্রোপাধ‍্যায় কিন্তু প্রাক্তন শিক্ষামন্ত্রীর আবেদন সুপ্রিম কোট খারিজ করেন ! URL @USER @USER ht",BN,OAG
anon_e7023ba77a45,"@USER তোলাবাজ একটা , কবে যে এটাকে কোমরে দড়ি পড়িয়ে শ্রী ঘরে নিয়ে যাবে C.B.I কে যানে।",BN,OAG
anon_3b219f3b7e19,"@USER `রাজ্যপালের অপসারণ চেয়ে মামলা গ্রহণযোগ্য নয়`, পর্যবেক্ষণ হাইকোর্টের ! হাইকোর্টে বিরাট জয় রাজ্যপালের ! গো হারান হারল তৃণমূল কংগ্রেস ! মমতার মুখে ঝামা ঘষে দিলেন বিচারপতি ! @USER @USER @USER @USER URL",BN,OAG
anon_df12ecd077ef,"পাকিস্তানি ছাত্র ছাত্রীরা ইউক্রেন বর্ডারে ""জয় হিন্দ"" বলে চিৎকার করেছে প্রাণ বাঁচাতে ! এটাই তো মোদীজীর আচ্ছে দিন ! আর যদি পাকিস্তানি ছাত্ররা পিসির নাম নিয়ে ""জয় বাংলা"" বলে চিৎকার করলে বর্ডারে ফ্রিতে আনন্দবাজার পেতেন ফ্লাইটে পড়ার জন্য ! #ModiShowsThe",BN,OAG
anon_e74b103532a9,"Please #EknathShinde go to his face and ask him to resign. We cannot tolerate his absurd speech. Please go, he is saying he will resign immediately if one of you go meet him and say it 🙏🏻",EN,CAG
anon_2684b514e749,"@USER 3- Normal people who were not workers of any party were harassed, beaten and victim of expired shelling. These parties, our courts, our judges, our forces, they all are pathetic.",EN,CAG
anon_3f73c265c3fd,"How hard is it to get that hijab is not India &amp; it just does not empower women. How can TV channels &amp; anchors be so dumb in taking sides? Just saw @USER with a smirk on his show, shows how regressive. Yesterday it was one of my fav @USER",EN,CAG
anon_b53086d558f1,@USER @USER Okiez dnt hv to samjhaofy me - will get samjhaofied dheere dheere 😁😂,EN,CAG
anon_445e1050156c,@USER @USER He needs to be president of khangress right now 😝😝😝,EN,CAG
anon_ee8dca136b55,I am lmao…. Lmfao my dawg denied her and now she crazy URL,EN,CAG
anon_6ea8e8b5aa29,@USER Ssly yaar . Shez becoming vile day by day Losing her mind Kuch bhi bolti hai Loving her religion is fine but shez become completely hinduphobic now,EN,CAG
anon_3a2ee1496acd,@USER We expected more from Biden,EN,CAG
anon_7a6a74cbe87b,Thank You @USER URL URL,EN,NAG
anon_08fb104b0f2f,"Former President of Gita Press, Sh Radheyshyam Khemka has been conferred with Padma Vibhushan posthumously. He dedicated his entire life to the cause of Sanatan Dharma &amp; was editor of Kalyan Magazine for 4 decades. 2023 is centenary year of Gita Pre",EN,NAG
anon_234a1273487b,@USER @USER BSP already decided to join BJP. so no issues there.,EN,NAG
anon_eed4435e296d,@USER Nhi.. I feel alive and kicking 😂,EN,NAG
anon_6332a8f62e3a,@USER @USER @USER @USER Welcome to most peacefull Police district.,EN,NAG
anon_0eec27c419d0,"@USER Centuries ago, Chankaya had came from Taxila to unify the country. Now it is time for the contemporary Chanakyas to reclaim what we lost. Unification of #POJK with India will give wings to the aspirations of the people of these areas #MyPOJK",EN,NAG
anon_91a575b38c7c,"Pakistan: Three women teachers of a girls madrassa have beheaded a woman teacher of same madrassa, after a student told them she has seen a dream in which the victim teacher commits blasphemy. Ollah who Akhbar URL",EN,NAG
anon_2fbdd77210d6,"#Agnipath protests: Train coach torched, buses vandalised, police outpost set afire in Uttar Pradesh cities #AgnipathRecruitmentScheme URL To get epaper daily on your whatsapp click here: URL",EN,NAG
anon_63dfdeb1ff9f,💪💪👌👌 also feed them pork and 🔥 them alive along with entire family💪🤗🤗 URL,EN,OAG
anon_289dff07669d,@USER First of the world would be a better place sans @USER. I am paying my tax money to feed the entire party top that is of criminals right from #Nehru. The inflation reduces at least by 5% if they are wiped out. #India #democracy #Congr,EN,OAG
anon_f7ac67a9aa8d,"The full blown Nazism of the Neo-Nazi Ukrainian state, where agents of the state are abducting and torturing people with no proof or process. Never forget this. URL",EN,OAG
anon_305ddad049f6,Sperm of suar @USER made a 8 min video where he tried to paint sullas in India are being ki||€d day in day out. In which sewer he is now. #UdaipurHorror #KanhaiyaLal,EN,OAG
anon_7535bbb91c8f,We have published our daily anti-Hindu hate news for 23rd June 2022. #HindusUnderAttack #HinduGenocideAlert #HinduphobiaIsReal URL,EN,OAG
anon_d0379e4d73fa,"Muslims way. Still, we are sold Muslims are in danger? Hindus are Fascist? How many Hindus have to be butchered before Hindus unite and fight together. Strength recognized strength. There can be no peace without a show of overwhelming force. Truth = #",EN,OAG
anon_2bf620c22ba6,"@USER Now you know why Hindus loose,it their wish to loose ..",EN,OAG
anon_7a60da111333,Warmongering Asshole URL,EN,OAG
anon_eaf90ea9a5c3,@USER Kyu nhai udaai......3 😌,HI,CAG
anon_5763abe87ed1,"‘नूपुर शर्मा का सिर कलम करने वाले को मकान’… चिश्ती का फरमान, तो #LeenaManimekalai को हनुमानगढ़ी के महंत की धमकी #NupurSharmaControversy #IndiaAheadHindi #ProphetMohammad URL",HI,CAG
anon_85690f81aadc,Babri बाबर और औरंगजेब ने इनके पूर्वजों को पीट पीट कर मुसलमान बना दिया और अपनी गुलामी करवाई और अब ये उनको अपना बाप माने बैठे है गजब पद्दति है,HI,CAG
anon_e334ea177458,"जिस जैनुद्दीन ने द कश्मीर फाइल देखकर लौट रहे लोगों पर चाकू से वार किया था... उसे UP पुलिस ने मुठभेड़ में मारी गोली... ""बाबा के घर में देर है अंधेर नहीं""😁",HI,CAG
anon_a1c62fbf4642,ॐ शांति। चारो तरफ शांति ही शांति। लेकिन इतना भी सपना मत दिखाओ की पागल हो जाएं। URL,HI,CAG
anon_69c7e73fea7a,"न्यूज़ 18 के पत्रकार के साथ हुआ तो अपनी खबर में उसे ही विक्टिम बनाया जो वाक़ई में था-उनका पत्रकार यही घटना किसी दूसरे शख़्स के साथ हुई होती,मैं तो ये भी नहीं कह रही कि वो मुस्लिम होता तो!कोई हिंदू भी होता तो ये खबर चलाते कान में डाल लो रुई, अगर हिंदू जगर",HI,CAG
anon_2131f8ecf18d,आपको तो खुश होना चाइये आपके हिसाब से सारा बिज़नेस अम्बानी अडानी टाटा वाला ही करते है सब उनको बेच दिया है धंधा बंध उनका होगा आपके लिए तो ये ख़ुशी की बात है दिन रात आप ही गाली देते थे अडानी अम्बानी टाटा को URL,HI,CAG
anon_a1324603d9b1,@USER Yeh mujhe bhi janna hai 😠😤,HI,CAG
anon_80c3759420ee,आज हमारे जन्मभूमि मटिहानी बेगुसराय में @USER द्वारा #AgnipathScheme के खिलाफ शांतिपूर्ण सत्याग्रह होगा जिसमें @USER जी @USER जी @USER जी समेत पूरे विधान सभा से अनेको नेता कार्यकर्ता शामिल होंगे URL,HI,NAG
anon_74bba22728b6,"@USER @USER @USER 📗किसी को जबरन अपना धर्म नहीं मनवाना चाहिए। #HiddenSecrets_Of_TheQuran Last Prophet Sant Rampal Ji क़ुरान मजीद, सूर: अल् बकरा नं. 2 आयत 256 :- धर्म के विषय में कोई जोर जबरदस्ती न कर। @USER अधिक जानक",HI,NAG
anon_a957aa96221d,"#TheRightSpiritualPath संत रामपाल जी महाराज बताते हैं तीनों देवा दिल में बसें ब्रह्मा, विष्णु, महेश। प्रथम इनकी वंदना, फिर सुन सतगुरु उपदेश।। URL",HI,NAG
anon_54821d182370,प्रभु श्री राम की मूर्ति पर पथराव कर खंडित करने का प्रयास.... करौली के बाद अब कर्नाटक में हिंदू आस्था पर आघात URL,HI,NAG
anon_419345a4c56c,वर्तमान में कबीर परमेश्वर के अवतार संत रामपाल जी महाराज है जिनसे उपदेश लेकर सत भक्ति करने से मानसिक शारीरिक सभी प्रकार के दुखों से निजात पाया जा सकता है #TrueWorship_TrueHappiness URL,HI,NAG
anon_6ee020873015,"🌹🌹🌹जय शनिदेव🌹🌹🌹 🌹निलाजनं समाभासं रविपुत्रम यमाग्रजम🌹 🌹🌹छाया मार्तण्ड तं नमामि शनैश्चरम् देव शनि की महिमा देखो 🙏🏼🚩 करते न्याय बराबर देखो, जीवन के दुःख-कष्ट दूर हो जाते उनकी शरण में जाकर देखो। ""#शुभ_संध्या_वंदन🙏☕😊💐🙏 #जय_श्री_शनि_देव❣️🙏🏽🙏🏽🚩❣️ https",HI,NAG
anon_71eee742e4c6,बच्चों में अपने माता-पिता के प्रति आदर भाव का संस्कार विकसित करने और उनके अनुभव व आशीर्वाद से भारतीय संस्कृति को विकसित करने हेतु मातृ-पितृ पूजन दिवस १४ फ़रवरी को मनाने की परंपरा एक अच्छा उदाहरण है। #मातृ_पितृ_पूजन_दिवस URL,HI,NAG
anon_e93f31bd97b6,सिरोही-| पुलिस पर फायरिंग करने वाला 5000 रुपये का इनामी बदमाश को पुलिस ने धर दबोचा श्याम सुंदर उर्फ सांवराराम उर्फ सवारिया खिलेरी बिश्नोई को किया गिरफ्तार आरोपी ने बरलूट पुलिस पर की थी फायरिंग वही कोतवाली थाने में एनडीपीएस एक्ट का भी मामला है दर्ज @USER,HI,NAG
anon_ebef22399dd3,"@USER @USER इस सतपाल को पेश करो मेरी अदालत में, मैं दिखाता हूँ इसे क्या किया जाता है बड़बोलो के साथ, भीख मंगवाऊंगा सड़क पर... कौन है ये लोग? तुम कहीं के जज हो क्या? पहले जाकर उसे नचवा जिसने भगवान शिव का अपमान किया, अक्ल के दुश्मन! #NupurS",HI,OAG
anon_ddbec3bd380a,जहांगीपूरी में हुई हिंसा में राष्ट्रीय ध्वज के अपमान करने वालो पर करवाई की जानी चाहिए। भारतीय ध्वज का अपमान नही सहेगा हिंदुस्तान।,HI,OAG
anon_f1e709e6aef1,@USER जाहिल झंडे के डंडे से पीट भी सकता है चंदा मेरे महादेव के मस्तक पर सजता है धरती चपटी वालों से क्या है उलझना ज़हरीली सोच से अब उनको सुलझना 😉😅😂 URL,HI,OAG
anon_46bcb8f7477c,"आरंभ है प्रचंड बोले मस्तकों के झुंड आज जंग की घड़ी की तुम गुहार दो,🙏🏻 आन बाण शान या कि जान का हो दान आज एक धनुष के बाण पे उतार दो। 🚩🙏🏻 आरंभ इतना प्रचंड होना चाहिए कि अंतिम विजय हमारी हो।🚩 #10 मार्च",HI,OAG
anon_b445e3141381,@USER क्यों सारा दिन गाली गाती रहती हो एसे tweet करके,HI,OAG
anon_ebdbcb536080,@USER @USER सफेदपोश गुंडागर्दी का सृजक,HI,OAG
anon_7f6b550688de,"हां तो @USER नामी ज़हरजीवी तुझे शब-ए-बारात पर हुड़दंग वाले वीडियो फुटेज चाहिए थे न! इसे देख, यह होली के हुड़दंग का वीडियो देख, और अगर तू सचमुच 'देशभक्त' है तो इसे प्रसारित करके दिखा। URL",HI,OAG
anon_25df35de87aa,"@USER चित्तौड़गढ़ के तिरंगा होटल का संचालक मुख्तियार ने अपने स्टाफ राजेश की आंखों में डाल दी मिर्च पाउडर. फावड़े से की बर्बर पिटाई, चाय ठंडी होने से बौखलाए मुख्तियार ने कर दी राजेश के साथ तालिबानी हरकत. #SarTanSeJuda #HinduLivesMatters https:",HI,OAG
anon_be1df9a5d087,उद्या जो शिवपिंडीवर अर्पण करण्याऱ्या दुधा वरून ज्ञान पाजळेल त्याशी लिब्रुड समजावा आणि दोन कानाखाली वाजवावी. जन हितार्थ जारी🙏,MR,CAG
anon_cb7f08e109f0,@USER @USER URL 1990 मध्ये पवार साहेबांनी शिवसेना फोडली आणि छगन भुजबळांसह 10 आमदार काढून घेतले. 1990 मध्ये साहेबांनी शिवसेना फोडली आणि अनेक आमदारांसह गणेश नाईकांना घेऊन गेले. आता गंमत म्हणजे UT त्याच शरद पवार साहेबांना शिव,MR,CAG
anon_959a557f5f6b,@USER @USER म्हणजे ही आरोही ट्रान्सजेंडर आहे हे मान्य केलं🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂,MR,CAG
anon_85dc2c3d1a40,"@USER @USER @USER प्रिय पत्रकारांनो, संजय राऊत यांच्या अशा अपमानास्पद भाषेचे तुम्ही समर्थन करता? लक्षात घ्या की घरातील लहान मुले टीव्ही न्यूज चॅनेल पाहतात.. पत्रकार, एडिटर्स गिल्ड याचा निषेध का करत नाही? Maharashtra कोणत्याही निवडणुकी",MR,CAG
anon_c4b31ce7d95c,'मराठी राबडीदेवी' आक्षेपार्ह असेल तर.. भर सभेत 'मायचापुत' अभिमानी शब्द आहे का? ठाकरे घराण्याला शिव्यांच लाइसन दिलं आहे का? @USER @USER,MR,CAG
anon_38263fe4cbb8,@USER @USER @USER @USER @USER मी माझा मुद्दा मांडला आहे एक वेळ ट्विट बघून घे. तुझा पार्टनर @USER ह्याच्या मते 3 हजार भारतीयांना लिबिया मध्ये मनमोहन सिंह यांनी वाऱ्यावर सोडून दिलं कोणत्या साली ते त्याला माहिती नाही आ,MR,CAG
anon_698ec16e7691,@USER देगलूर बिलोली चा निकाल बघितला नाही का मोदी च्या पोरा ?,MR,CAG
anon_c8c3924a3385,"""जीन्सवाल्या पोरींना मोदी आवडत नाहीत!""- दिग्विजय सिंह. 🤣🤣",MR,CAG
anon_e345fac6bc5c,सुप्रभात 🌄 URL,MR,NAG
anon_8a6026f2e24c,अग्निपथ योजनेवर पंतप्रधान मोदींनी दिली पहिली प्रतिक्रिया; म्हणाले... #LatestNews #SaamTV #SaamDigital #SaamMarathiNews #NarendraModi #Agnipath #PM URL,MR,NAG
anon_c64107e33aa9,@USER *आवड आणि आत्मविश्वास असेल तर कोणतीही गोष्ट अवघड नाही.* *शुभ सकाळ*🙏🙏,MR,NAG
anon_c1bc667b9299,@USER @USER महाराष्ट्रातील सरकारी नोकर भरतीबाबतचे यवतमाळातील आंदोलन. @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @,MR,NAG
anon_08d537b63384,"Al-Qaeda Threat : पैगंबरवरील वादग्रस्त विधानाचा बदला घेणार अल-कायदा, पत्रकाद्वारे आत्मघाती हल्ल्याची धमकी; मुंबईसह 'या' राज्यांना इशारा #AlQaeda #terrorism #Terrorist #ProphetMohammed #BJP #Safron #NupurSharma #Mumbai URL",MR,NAG
anon_07ff46bb6597,@USER @USER @USER • रोहित पवार कुठे आहे - माहीत नाही. • अनिल देशमुख 100 कोटी गोळा करत होता - माहित नाही. • नवाब मलिक अतिरेक्यांच्या जमिनी घेत होता - माहीत नाही. • सचिन वाझेने मनसुख हिरेनला मारले - माहिती नाही. • भिडे गुरुजी कोण ? -,MR,NAG
anon_a62a015d7642,"@USER @USER औरंगाबादचे संभाजीनगर व उस्मानाबादचे धाराशिव असे नामांतर करण्याचा निर्णय मविआ ने घेतला आहे, या निर्णयाचे श्रेय @USER व @USER यांना जाते ज्यांनी ही परिस्थिती निर्माण केली, मविआ ने हा निर्णय मनापासून घेतला तर सरकारच्या",MR,NAG
anon_c7aa952887ba,भद्र लोक! #SaveBengal URL,MR,NAG
anon_78777365814e,@USER मृत्युदंड,MR,OAG
anon_956058422500,#KanpurDangaVideo कानपूरच्या मौलाना नी हिंदूंकडून वस्तू खरेदी न करण्याचा फतवा काढला आहे... हिम्मत असेल तर हिंदूंना सामान विकू नका असा फतवा काढून दाखवा..,MR,OAG
anon_ff12b08dbcd1,➡️ कंगनाच्या घरावर बुलडोझर ➡️ केंद्रीय मंत्री राणे ह्यांना भर ताटावरून उचलून न्हेणं ➡️ अर्णब गोस्वामीला घरातून फरफटत न्हेणं ➡️ विरोधी मत प्रदर्शन केलं म्हणून युवकाचे केस भादरणे वृद्धांस मारहाण करणे ➡️ सोशल मीडिया पदाधिकारी आणि इतर मंडळीना अटक करणे ह्,MR,OAG
anon_3f597e2d7a67,"@USER थांबा, आता छापा टाकतो आणि काटा काढतो आंगावर आलेच आहे तर शिंगावर घेतोच कोथळा बिथळा काढतो एक चीव शेनिक",MR,OAG
anon_74e1ed8b55ea,@USER @USER तुला मातोश्री गेटवर कुत्रं तरी ओळखत का तुजी जेवडी लायकी तेवढच बोल..!! तुमच्या शिवसैनिकांची अक्कल गुडग्यात असते खर आहे..!! ट्विट सरळ वाच पाहिलं शिळा वडापाव खाऊन तुमची बुद्धी जंगली आहे,MR,OAG
anon_c5f441cd5f43,आणि त्यातला एक बॉम्बस्फोट सेना भवन च्या जवळ झाला होता... त्यांचं टार्गेट तुम्ही होतात... आज तुम्ही जे काही करत आहात ते... त्यांना पुढच्या बॉम्बस्फोटाची तयारी करण्याची संधी देत आहात... URL,MR,OAG
anon_dffa23e3f389,"@USER गुंड ठेवलेत कि साहेब पाळून साठ वर्षांच्या म्हातार्याला पण मारत आहेत डोळ्यावर बुक्या घालत आहेत पत्रकाराला जेल मध्ये टाकत आहेत ,एकट्या महिलेचे घर तोडत आहेत , महाराष्ट्रातल्या ईतिहासातला आजपर्यंतचा टिका सहन न करणारा मुख्यमंत्री आहे ठाकरे सरकार !",MR,OAG
anon_aa942ab2bfa6,@USER चिपळूण पूरग्रस्त भेटी वेळी एक महिलेवर हात उचलणारा हाच तो भास्कर जाधव...,MR,OAG
